title,description,genre,published_date,authors
the silver chair,two english children undergo hairraising adventures as they go on a search and rescue mission for the missing prince rilian who is held captive in the underground kingdom of the emerald witch,fantasy,1998,clive staples lewis
a game of thrones,fantasyroman,fantasy,2011,george r r martin
fablehaven,when kendra and seth go to stay at their grandparents estate they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming,fantasy,2007,brandon mull
a wizard of earthsea,originally published in 1968 ursula k le guins a wizard of earthsea marks the first of the six now beloved earthsea titles ged was the greatest sorcerer in earthsea but in his youth he was the reckless sparrowhawk in his hunger for power and knowledge he tampered with longheld secrets and loosed a terrible shadow upon the world this is the tumultuous tale of his testing how he mastered the mighty words of power tamed an ancient dragon and crossed deaths threshold to restore the balance,fantasy,2012,ursula k le guin
lodestar,betrayed by one of their closest allies sophies whole world has been turned inside out the battles are shaping up and the stakes have never been higher in this fifth installment of the bestselling series 5 18 x 7 58,fantasy,2017,shannon messenger
the lord of the rings,contains the complete set of the six books of lord of the rings,fantasy,2001,jrr tolkien john ronald reuel tolkien
keeper of the lost cities,at age 12 sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf after being brought to eternalia to hone her skills she discovers that she has secrets buried in her memory for which some would kill,fantasy,2012,shannon messenger
the wizard of oz,0000000000this is the story of dorothy and her little dog toto who are carried away from kansas by a cyclone and transported to the wonderful world of oz she meets three companions  the scarecrow the tin woodman and the cowardly lion  and the three journey to the emerald city of oz to ask the wizard of oz to give them their hearts desires which in dorothys case is to return home to kansas on their way to oz and while fulfilling the tasks that the surprising wizard asks of them they encounter witches winged monkeys the deadly desert fighting trees and magic shoesthis edition is evocatively illustrated with the original drawings of w w denslow with an afterword by ned halley,fantasy,2009,l frank baum
the dragonbone chair,simon a young kitchen boy and magicians apprentice finds his world torn apart by a civil war fueled by immortal enemies and the dark powers of sorcery,fantasy,2005,tad williams
horton hears a who,originally copyrighted 1954 renewed 1982,fantasy,1982,dr seuss
the cat in the hat,the cat in the hat entertains two children on a rainy day,fantasy,2012,dr seuss
the wind in the willows,the escapades of four animal friends who live along a river in the english countrysidetoad mole rat and badger,fantasy,1993,kenneth grahame
the illustrated man,eighteen science fiction stories,fantasy,1951,ray bradbury
guardians of the west,garion the king of riva finds himself caught between the dark prophecy and the prophecy of light when he searches a previously obscure part of the mrin codex to identify someone or something called zandramas,fantasy,1987,david eddings
bridge to terabithia,one of the most celebrated newbery medal winners of all time gets a magical makeover in this new edition complete with a readers guide thats ideal for teachers book clubs or anyone looking for insight into this favorite book,fantasy,1979,katherine paterson
throne of glass,after serving out a year of hard labor in the salt mines of endovier for her crimes 18yearold assassin celaena sardothien is dragged before the crown prince prince dorian offers her her freedom on one condition she must act as his champion in a competition to find a new royal assassin her opponents are menthieves and assassins and warriors from across the empire each sponsored by a member of the kings council if she beats her opponents in a series of eliminations shell serve the kingdom for three years and then be granted her freedom celaena finds her training sessions with the captain of the guard westfall challenging and exhilirating but shes bored stiff by court life things get a little more interesting when the prince starts to show interest in her but its the gruff captain westfall who seems to understand her best then one of the other contestants turns up dead quickly followed by another can celaena figure out who the killer is before she becomes a victim as the young assassin investigates her search leads her to discover a greater destiny than she could possibly have imagined,fantasy,2012,sarah j maas
an ember in the ashes,book one in the new york times bestselling series one of time magazines 100 best fantasy books of all time instant new york times bestseller from 1 new york times bestselling author sabaa tahir amazons best young adult book of 2015 peoples choice award winner  favorite fantasy bustles best young adult book of 2015 this novel is a harrowing haunting reminder of what it means to be human  and how hope might be kindled in the midst of oppression and fear  the washington post an ember in the ashes could launch sabaa tahir into jk rowling territoryit has the addictive quality of the hunger games combined with the fantasy of harry potter and the brutality of game of thronespublic radio international an ember in the ashes glows burns and smoldersas beautiful and radiant as it is searinghuffington post a worthy novel  and one as brave as its characters the new york times book review laia is a slave elias is a soldier neither is free under the martial empire defiance is met with death those who do not vow their blood and bodies to the emperor risk the execution of their loved ones and the destruction of all they hold dear it is in this brutal world inspired by ancient rome that laia lives with her grandparents and older brother the family ekes out an existence in the empires impoverished backstreets they do not challenge the empire theyve seen what happens to those who do but when laias brother is arrested for treason laia is forced to make a decision in exchange for help from rebels who promise to rescue her brother she will risk her life to spy for them from within the empires greatest military academy there laia meets elias the schools finest soldierand secretly its most unwilling elias wants only to be free of the tyranny hes being trained to enforce he and laia will soon realize that their destinies are intertwinedand that their choices will change the fate of the empire itself,fantasy,2020,sabaa tahir
harry potter and the deathly hallows,at a time when the forces of evil seem to be gaining the upper hand harry comes of age in the wizarding world and must take on and defeat voldemortor be killed himself,fantasy,2007,j k rowling
prince caspian movie tiein edition rack,this movie tiein edition of the full original prince caspian novel will be rack size and feature a movie cover and an 8page movie still insert,fantasy,2008,c s lewis
the ice dragon,a tale of courage and sacrifice set in the world of the 1 new york times bestselling series a song of ice and fire basis for hbos megahit game of thrones,fantasy,2014,george r r martin
a wrinkle in time,this special edition ofa wrinkle in timeincludes a new essay that explores the science behind the fantasy rediscover one of the most beloved childrens books of all timea wrinkle in timeby madeleine lengle meg murray her little brother charles wallace and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door he claims to have been blown off course and goes on to tell them that there is such a thing as a tesseract which if you didnt know is a wrinkle in time megs father had been experimenting with timetravel when he suddenly disappeared will meg charles wallace and their friend calvin outwit the forces of evil as they search through space for their father,fantasy,1973,madeleine lengle
crown of midnight,it puts this entire castle in jeopardy  and the life of your friend,fantasy,2013,sarah j maas
the little prince,a man has an accident in the sahara desert and encounters the little prince,fantasy,2000,
bartholomew and the oobleck,the king tired of rain snow sun and fog commands his magicians to make something else come down from the sky but when oobleck falls in sticky greenish droplets bartholomew cubbins shames the king and saves the kingdom,fantasy,1949,
the adventures of pinocchio,the adventures of a talking wooden marionette whose nose grew whenever he told a lie,fantasy,1927,carlo collodi
the talisman,on a brisk autumn day a thirteenyearold boy stands on the shores of the gray atlantic near a silent amusement park and a fading ocean resort called the alhambra the past has driven jack sawyer here his father is gone his mother is dying and the world no longer makes sense but for jack everything is about to change for he has been chosen to make a journey back across americaand into another realm one of the most influential and heralded works of fantasy ever written the talisman is an extraordinary novel of loyalty awakening terror and mystery jack sawyer on a desperate quest to save his mothers life must search for a prize across an epic landscape of innocents and monsters of incredible dangers and even more incredible truths the prize is essential but the journey means even more let the quest begin   ,fantasy,1984,stephen king peter straub
james and the giant peach,a young boy escapes from two wicked aunts and embarks on a series of adventures with six giant insects he meets inside a giant peach,fantasy,1973,roald dahl
smith of wootton major,the author creates the magical story of the village of wootton major which hosts a special feast every twentyfour years at which one fortunate citizen is admitted into the land of the faery,fantasy,1967,john ronald reuel tolkien
legendborn,includes a short story from selwyn kanes point of view,fantasy,2022,tracy deonn
moomin mymble and little my,finnish artist tove janssons moomin stories have been continually in print for more than half a century in 35 languages they are among europes best loved and enduring childrens classics and through the tv animation bbc2 the warmhearted whimsical creatures of moomin valley have been brought to a new younger british audienceintroducing the first sort of childrens classic in a new english version by sophie hannah sort of books proudly presents the original full colour moomin picture book with its irresistible cutout page designs and playful rhyming text in a new version by one of britains star poets,fantasy,2001,tove jansson
secrets of the dragon sanctuary,when kendra and seth go to stay at their grandparents estate they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming,fantasy,2010,brandon mull
the golden compass,accompanied by her daemon lyra belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the far north,fantasy,1997,philip pullman
peter pan,the adventures of peter pan the boy who would not grow up,fantasy,2001,j m barrie
where the wild things are,max is sent to bed without supper and imagines sailing away to the land of wild things where he is made king winner 1964 caldecott medalnotable childrens books of 19401970 ala1981 boston globehorn book award for illustration1963 1982 fanfare honor list the horn bookbest illustrated childrens books of 1963 1982 nyta reading rainbow selection1964 lewis carroll shelf awardchildrens books of 1981 library of congress1981 childrens books ny public library100 books for reading and sharing 1988 ny public library,fantasy,1963,maurice sendak
house of many ways,charmain baker is in over her head looking after greatuncle williams tiny cottage while hes ill should have been easy but greatuncle william is better known as the royal wizard norland and his house bends space and time its single door leads to any number of placesthe bedrooms the kitchen the caves under the mountains the past and the royal mansion to name just a few by opening that door charmain has become responsible for not only the house but for an extremely magical stray dog a muddled young apprentice wizard and a box of the kings most treasured documents she has encountered a terrifying beast called a lubbock irritated a clan of small blue creatures and wound up smack in the middle of an urgent search the king and his daughter are desperate to find the lost fabled elfgiftso desperate that theyve even called in an intimidating sorceress named sophie to help and where sophie is can the wizard howl and fire demon calcifer be far behind of course with that magical family involved theres bound to be chaosand unexpected revelations no one will be more surprised than charmain by what howl and sophie discover,fantasy,2008,diana wynne jones
through the lookingglass,publisher description,fantasy,1993,lewis carroll
little black sambo,the classic story by helen bannerman of a young indian lad who meets up with a tiger and turns him into butter,fantasy,1921,helen bannerman
the life and adventures of santa claus,a human foundling child adopted by a woodnymph and raised by the creatures who inhabit a magical forest grows up to be the immortal santa claus,fantasy,1902,lyman frank baum
another fine myth,after a magicians death his apprentice who is a thief experiences a variety of adventures via a shortcircuited dimension jumper,fantasy,1978,robert asprin
the black cauldron,taran the gallant assistant pigkeeper and his companions once again fare forth to destroy the evil that threatens their beloved country prydain a wise and wondrous tale written in epic fashion booklist,fantasy,1980,lloyd alexander
lucindas secret,with goblins trolls and the house boggart all trying to get them the grace children turn to great aunt lucinda for help,fantasy,2003,tony diterlizzi holly black
the hobbit or there and back again,this definitive paperback edition features nine illustrations and two maps drawn by jrr tolkien and a preface by christopher tolkien bilbo baggins is a hobbit who enjoys a comfortable unambitious life rarely travelling further than the pantry of his hobbithole in bag end but his contentment is disturbed when the wizard gandalf and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey there and back again they have a plot to raid the treasure hoard of smaug the magnificent a large and very dangerous dragon the prelude to the lord of the rings the hobbit has sold many millions of copies since its publication in 1937 establishing itself as one of the most beloved and influential books of the twentieth century,fantasy,1996,john ronald reuel tolkien
the tombs of atuan,with a new afterword from the authorjkt,fantasy,2012,ursula k le guin
the farthest shore,when the prince of enlad declares the wizards have forgotten their spells ged sets out to test the ancient prophecies of earthsea,fantasy,2012,ursula k le guin
the drawing of the three,in 1978 stephen king introduced the world to the last gunslinger roland of gilead nothing has been the same since more than twenty years later the quest for the dark tower continues to take readers on a wildly epic ride through parallel worlds and across time roland must brave desolate wastelands and endless deserts drifting into the unimaginable and the familiar a classic tale of colossal scopecrossing over terrain from the stand the eyes of the dragon insomnia the talisman black house hearts in atlantis salems lot and other familiar king hauntsthe adventure takes hold with the turn of each page and the tower awaits the second volume in the epic dark tower series the drawing of the three while pursuing his quest for the dark tower through a world that is a nightmarishly distorted mirror image of our own roland is drawn through a mysterious door that brings him into contemporary america here he links forces with the defiant young eddie dean and with the beautiful brilliant and brave odetta holmes in a savage struggle against underworld evil and otherworldly enemies once again stephen king has masterfully interwoven dark evocative fantasy and icy realism,fantasy,1987,stephen king
