,title,description,genre,published_date,authors
0,the silver chair,two english children undergo hairraising adventures as they go on a search and rescue mission for the missing prince rilian who is held captive in the underground kingdom of the emerald witch,fantasy,1998.0,clive staples lewis
1,fablehaven,when kendra and seth go to stay at their grandparents estate they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming,fantasy,2007.0,brandon mull
2,a wizard of earthsea,originally published in 1968 ursula k le guins a wizard of earthsea marks the first of the six now beloved earthsea titles ged was the greatest sorcerer in earthsea but in his youth he was the reckless sparrowhawk in his hunger for power and knowledge he tampered with longheld secrets and loosed a terrible shadow upon the world this is the tumultuous tale of his testing how he mastered the mighty words of power tamed an ancient dragon and crossed deaths threshold to restore the balance,fantasy,2012.0,ursula k le guin
3,a game of thrones,fantasyroman,fantasy,1997.0,george r r martin
4,keeper of the lost cities,at age 12 sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf after being brought to eternalia to hone her skills she discovers that she has secrets buried in her memory for which some would kill,fantasy,2012.0,shannon messenger
5,the lord of the rings,contains the complete set of the six books of lord of the rings,fantasy,2001.0,jrr tolkien john ronald reuel tolkien
6,lodestar,betrayed by one of their closest allies sophies whole world has been turned inside out the battles are shaping up and the stakes have never been higher in this fifth installment of the bestselling series 5 18 x 7 58,fantasy,2017.0,shannon messenger
7,the wizard of oz,0000000000this is the story of dorothy and her little dog toto who are carried away from kansas by a cyclone and transported to the wonderful world of oz she meets three companions  the scarecrow the tin woodman and the cowardly lion  and the three journey to the emerald city of oz to ask the wizard of oz to give them their hearts desires which in dorothys case is to return home to kansas on their way to oz and while fulfilling the tasks that the surprising wizard asks of them they encounter witches winged monkeys the deadly desert fighting trees and magic shoesthis edition is evocatively illustrated with the original drawings of w w denslow with an afterword by ned halley,fantasy,2009.0,l frank baum
8,the dragonbone chair,simon a young kitchen boy and magicians apprentice finds his world torn apart by a civil war fueled by immortal enemies and the dark powers of sorcery,fantasy,2005.0,tad williams
9,horton hears a who,originally copyrighted 1954 renewed 1982,fantasy,1982.0,dr seuss
10,the wind in the willows,the escapades of four animal friends who live along a river in the english countrysidetoad mole rat and badger,fantasy,1993.0,kenneth grahame
11,eragon,14 compact discs 16 hours 23 minutes unabridged audio cd,fantasy,2006.0,christopher paolini
12,guardians of the west,garion the king of riva finds himself caught between the dark prophecy and the prophecy of light when he searches a previously obscure part of the mrin codex to identify someone or something called zandramas,fantasy,1987.0,david eddings
13,the illustrated man,eighteen science fiction stories,fantasy,1951.0,ray bradbury
14,bridge to terabithia,one of the most celebrated newbery medal winners of all time gets a magical makeover in this new edition complete with a readers guide thats ideal for teachers book clubs or anyone looking for insight into this favorite book,fantasy,1979.0,katherine paterson
15,throne of glass,after serving out a year of hard labor in the salt mines of endovier for her crimes 18yearold assassin celaena sardothien is dragged before the crown prince prince dorian offers her her freedom on one condition she must act as his champion in a competition to find a new royal assassin her opponents are menthieves and assassins and warriors from across the empire each sponsored by a member of the kings council if she beats her opponents in a series of eliminations shell serve the kingdom for three years and then be granted her freedom celaena finds her training sessions with the captain of the guard westfall challenging and exhilirating but shes bored stiff by court life things get a little more interesting when the prince starts to show interest in her but its the gruff captain westfall who seems to understand her best then one of the other contestants turns up dead quickly followed by another can celaena figure out who the killer is before she becomes a victim as the young assassin investigates her search leads her to discover a greater destiny than she could possibly have imagined,fantasy,2012.0,sarah j maas
16,harry potter and the deathly hallows,the final adventure in jk rowlings phenomenal bestselling harry potter book seriesprovided by publisher,fantasy,2007.0,j k rowling
17,the assassins blade,celaena sardothien is adarlans most feared assassin as part of the assassins guild her allegiance is to her master arobynn hamel yet celaena listens to no one and trusts only her fellow killerforhire sam in these actionpacked prequel novellas  together in one edition for the first time  celaena embarks on five daring missions they take her from remote islands to hostile deserts where she fights to liberate slaves and seeks to avenge the tyrannous but she is acting against arobynns orders and could suffer an unimaginable punishment for such treachery explore the dark underworld of this kickass heroine and find out how the legend begins in the five pageturning prequel novellas to the new york times bestselling throne of glass series,fantasy,2014.0,sarah j maas
18,an ember in the ashes,book one in the new york times bestselling series one of time magazines 100 best fantasy books of all time instant new york times bestseller from 1 new york times bestselling author sabaa tahir amazons best young adult book of 2015 peoples choice award winner  favorite fantasy bustles best young adult book of 2015 this novel is a harrowing haunting reminder of what it means to be human  and how hope might be kindled in the midst of oppression and fear  the washington post an ember in the ashes could launch sabaa tahir into jk rowling territoryit has the addictive quality of the hunger games combined with the fantasy of harry potter and the brutality of game of thronespublic radio international an ember in the ashes glows burns and smoldersas beautiful and radiant as it is searinghuffington post a worthy novel  and one as brave as its characters the new york times book review laia is a slave elias is a soldier neither is free under the martial empire defiance is met with death those who do not vow their blood and bodies to the emperor risk the execution of their loved ones and the destruction of all they hold dear it is in this brutal world inspired by ancient rome that laia lives with her grandparents and older brother the family ekes out an existence in the empires impoverished backstreets they do not challenge the empire theyve seen what happens to those who do but when laias brother is arrested for treason laia is forced to make a decision in exchange for help from rebels who promise to rescue her brother she will risk her life to spy for them from within the empires greatest military academy there laia meets elias the schools finest soldierand secretly its most unwilling elias wants only to be free of the tyranny hes being trained to enforce he and laia will soon realize that their destinies are intertwinedand that their choices will change the fate of the empire itself,fantasy,2020.0,sabaa tahir
19,the borrowers,miniature people live in an old country house and provide for themselves by borrowing things from the humans until they are forced to emigrate from their home under the clock,fantasy,1953.0,mary norton
20,the cat in the hat,the cat in the hat entertains two children on a rainy day,fantasy,2012.0,dr seuss
21,the ice dragon,a tale of courage and sacrifice set in the world of the 1 new york times bestselling series a song of ice and fire basis for hbos megahit game of thrones,fantasy,2014.0,george r r martin
22,prince caspian movie tiein edition rack,this movie tiein edition of the full original prince caspian novel will be rack size and feature a movie cover and an 8page movie still insert,fantasy,2008.0,c s lewis
23,a wrinkle in time,this special edition ofa wrinkle in timeincludes a new essay that explores the science behind the fantasy rediscover one of the most beloved childrens books of all timea wrinkle in timeby madeleine lengle meg murray her little brother charles wallace and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door he claims to have been blown off course and goes on to tell them that there is such a thing as a tesseract which if you didnt know is a wrinkle in time megs father had been experimenting with timetravel when he suddenly disappeared will meg charles wallace and their friend calvin outwit the forces of evil as they search through space for their father,fantasy,1973.0,madeleine lengle
24,moomin mymble and little my,finnish artist tove janssons moomin stories have been continually in print for more than half a century in 35 languages they are among europes best loved and enduring childrens classics and through the tv animation bbc2 the warmhearted whimsical creatures of moomin valley have been brought to a new younger british audienceintroducing the first sort of childrens classic in a new english version by sophie hannah sort of books proudly presents the original full colour moomin picture book with its irresistible cutout page designs and playful rhyming text in a new version by one of britains star poets,fantasy,2001.0,tove jansson
25,the talisman,on a brisk autumn day a thirteenyearold boy stands on the shores of the gray atlantic near a silent amusement park and a fading ocean resort called the alhambra the past has driven jack sawyer here his father is gone his mother is dying and the world no longer makes sense but for jack everything is about to change for he has been chosen to make a journey back across americaand into another realm one of the most influential and heralded works of fantasy ever written the talisman is an extraordinary novel of loyalty awakening terror and mystery jack sawyer on a desperate quest to save his mothers life must search for a prize across an epic landscape of innocents and monsters of incredible dangers and even more incredible truths the prize is essential but the journey means even more let the quest begin   ,fantasy,1984.0,stephen king peter straub
26,the golden compass,accompanied by her daemon lyra belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the far north,fantasy,1997.0,philip pullman
27,legendborn,includes a short story from selwyn kanes point of view,fantasy,2022.0,tracy deonn
28,smith of wootton major,the author creates the magical story of the village of wootton major which hosts a special feast every twentyfour years at which one fortunate citizen is admitted into the land of the faery,fantasy,1967.0,john ronald reuel tolkien
29,crown of midnight,it puts this entire castle in jeopardy  and the life of your friend,fantasy,2013.0,sarah j maas
30,the tin woodman of oz,dorothy tries to rescue the tin woodman and scarecrow from the giantess who has changed them into a tin owl and a teddy bear and is using them for playthings,fantasy,1918.0,lyman frank baum
31,tales from earthsea,exploring the legend of earthseas history people languages literature and magic this collection of four magical stories is now available in a paperback edition,fantasy,2002.0,ursula k le guin
32,the little prince,a man has an accident in the sahara desert and encounters the little prince,fantasy,2000.0,
33,through the lookingglass,publisher description,fantasy,1993.0,lewis carroll
34,peter pan,the adventures of peter pan the boy who would not grow up,fantasy,2001.0,j m barrie
35,the lion the witch and the wardrobe,four english school children enter the magic land of narnia through the back of a wardrobe and assist aslan the golden lion in defeating the white witch who has cursed the land with eternal winter,fantasy,2001.0,clive staples lewis pauline baynes
36,the farthest shore,when the prince of enlad declares the wizards have forgotten their spells ged sets out to test the ancient prophecies of earthsea,fantasy,2012.0,ursula k le guin
37,where the wild things are,max is sent to bed without supper and imagines sailing away to the land of wild things where he is made king winner 1964 caldecott medalnotable childrens books of 19401970 ala1981 boston globehorn book award for illustration1963 1982 fanfare honor list the horn bookbest illustrated childrens books of 1963 1982 nyta reading rainbow selection1964 lewis carroll shelf awardchildrens books of 1981 library of congress1981 childrens books ny public library100 books for reading and sharing 1988 ny public library,fantasy,1963.0,maurice sendak
