title,description,genre,published_date,authors,processed_description
the silver chair,two english children undergo hairraising adventures as they go on a search and rescue mission for the missing prince rilian who is held captive in the underground kingdom of the emerald witch,fantasy,1998.0,clive staples lewis,two english child undergo hairraising adventure go search rescue mission missing prince rilian held captive underground kingdom emerald witch
fablehaven,when kendra and seth go to stay at their grandparents estate they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming,fantasy,2007.0,brandon mull,kendra seth go stay grandparent estate discover sanctuary magical creature battle good evil looming
a wizard of earthsea,originally published in 1968 ursula k le guins a wizard of earthsea marks the first of the six now beloved earthsea titles ged was the greatest sorcerer in earthsea but in his youth he was the reckless sparrowhawk in his hunger for power and knowledge he tampered with longheld secrets and loosed a terrible shadow upon the world this is the tumultuous tale of his testing how he mastered the mighty words of power tamed an ancient dragon and crossed deaths threshold to restore the balance,fantasy,2012.0,ursula k le guin,originally published 1968 ursula k le guins wizard earthsea mark first six beloved earthsea title ged greatest sorcerer earthsea youth reckless sparrowhawk hunger power knowledge tampered longheld secret loosed terrible shadow upon world tumultuous tale testing mastered mighty word power tamed ancient dragon crossed death threshold restore balance
a game of thrones,fantasyroman,fantasy,1997.0,george r r martin,fantasyroman
keeper of the lost cities,at age 12 sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf after being brought to eternalia to hone her skills she discovers that she has secrets buried in her memory for which some would kill,fantasy,2012.0,shannon messenger,age 12 sophie learns remarkable ability always caused stand identify elf brought eternalia hone skill discovers secret buried memory would kill
the lord of the rings,contains the complete set of the six books of lord of the rings,fantasy,2001.0,jrr tolkien john ronald reuel tolkien,contains complete set six book lord ring
lodestar,betrayed by one of their closest allies sophies whole world has been turned inside out the battles are shaping up and the stakes have never been higher in this fifth installment of the bestselling series 5 18 x 7 58,fantasy,2017.0,shannon messenger,betrayed one closest ally sophies whole world turned inside battle shaping stake never higher fifth installment bestselling series 5 18 x 7 58
the wizard of oz,0000000000this is the story of dorothy and her little dog toto who are carried away from kansas by a cyclone and transported to the wonderful world of oz she meets three companions  the scarecrow the tin woodman and the cowardly lion  and the three journey to the emerald city of oz to ask the wizard of oz to give them their hearts desires which in dorothys case is to return home to kansas on their way to oz and while fulfilling the tasks that the surprising wizard asks of them they encounter witches winged monkeys the deadly desert fighting trees and magic shoesthis edition is evocatively illustrated with the original drawings of w w denslow with an afterword by ned halley,fantasy,2009.0,l frank baum,0000000000this story dorothy little dog toto carried away kansa cyclone transported wonderful world oz meet three companion scarecrow tin woodman cowardly lion three journey emerald city oz ask wizard oz give heart desire dorothys case return home kansa way oz fulfilling task surprising wizard asks encounter witch winged monkey deadly desert fighting tree magic shoesthis edition evocatively illustrated original drawing w w denslow afterword ned halley
the dragonbone chair,simon a young kitchen boy and magicians apprentice finds his world torn apart by a civil war fueled by immortal enemies and the dark powers of sorcery,fantasy,2005.0,tad williams,simon young kitchen boy magician apprentice find world torn apart civil war fueled immortal enemy dark power sorcery
horton hears a who,originally copyrighted 1954 renewed 1982,fantasy,1982.0,dr seuss,originally copyrighted 1954 renewed 1982
